id,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
12,AFG,Asia,Afghanistan,2020-01-16,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
13,AFG,Asia,Afghanistan,2020-01-17,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
14,AFG,Asia,Afghanistan,2020-01-18,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
15,PAK,Asia,PAKISTAN,2020-01-19,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
16,AFG,Asia,Afghanistan,2020-01-20,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
17,AFG,Asia,Afghanistan,2020-01-21,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
18,IND,Asia,india,2020-01-22,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
19,AFG,Asia,Afghanistan,2020-01-23,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
20,AFG,Asia,Afghanistan,2020-01-24,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
100,pa,North America,United States,2024-04-01,35000000.0,20000.0,18000.0,600000.0,200.0,180.0,100000.0,100.0,90.0,1500.0,0.5,0.4,1.2,5000.0,15.0,15000.0,50.0,200.0,0.5,1000.0,2.0,500000000.0,30000.0,1500.0,1.0,25000.0,0.8,0.05,50.0,people tested,200000000.0,100000000.0,50000000.0,30000000.0,15000.0,12000.0,600.0,300.0,150.0,90.0,30.0,10000.0,15.0,65.0,36.5,38.3,15.2,10.5,65000.0,,200.0,10.0,15.0,20.0,90.0,5.0,79.0,0.9,330000000.0,,,,
1000,USA,North America,United States,2024-04-01,35000000.0,20000.0,18000.0,600000.0,200.0,180.0,100000.0,100.0,90.0,1500.0,0.5,0.4,1.2,5000.0,15.0,15000.0,50.0,200.0,0.5,1000.0,2.0,500000000.0,30000.0,1500.0,1.0,25000.0,0.8,0.05,50.0,people tested,200000000.0,100000000.0,50000000.0,30000000.0,15000.0,12000.0,600.0,300.0,150.0,90.0,30.0,10000.0,15.0,65.0,36.5,38.3,15.2,10.5,65000.0,,200.0,10.0,15.0,20.0,90.0,5.0,79.0,0.9,330000000.0,,,,
110,USA,North America,United States,2024-04-01,35000000.0,20000.0,18000.0,600000.0,200.0,180.0,100000.0,100.0,90.0,1500.0,0.5,0.4,1.2,5000.0,15.0,15000.0,50.0,200.0,0.5,1000.0,2.0,500000000.0,30000.0,1500.0,1.0,25000.0,0.8,0.05,50.0,people tested,200000000.0,100000000.0,50000000.0,30000000.0,15000.0,12000.0,600.0,300.0,150.0,90.0,30.0,10000.0,15.0,65.0,36.5,38.3,15.2,10.5,65000.0,,200.0,10.0,15.0,20.0,90.0,5.0,79.0,0.9,330000000.0,,,,
110,USA,North America,United States,2024-04-01,35000000.0,20000.0,18000.0,600000.0,200.0,180.0,100000.0,100.0,90.0,1500.0,0.5,0.4,1.2,5000.0,15.0,15000.0,50.0,200.0,0.5,1000.0,2.0,500000000.0,30000.0,1500.0,1.0,25000.0,0.8,0.05,50.0,people tested,200000000.0,100000000.0,50000000.0,30000000.0,15000.0,12000.0,600.0,300.0,150.0,90.0,30.0,10000.0,15.0,65.0,36.5,38.3,15.2,10.5,65000.0,,200.0,10.0,15.0,20.0,90.0,5.0,79.0,0.9,330000000.0,,,,
